first_name,last_name,email,Пароль,phone_number,address,position,department,start_date,salary
Макар,Копитко,vashchenkopylyp@outlook.com,UwLHf3il5Y,+380 50 732-05-51,селище Буринь,Розробник,Розробка,28.07.2021,37054
Данило,Бабʼяк,avreliiderevianko@mail.ua,kVwa5JkKUC,+380 73 476-32-14,село Умань,HR,Розробка,07.10.2021,34398
Едуард,Бакуменко,halynaavramenko@yahoo.com,iU1pZWU1jY,+380 50 978-43-06,місто Суходільськ,HR,Продажі,27.06.2021,23965
Ольга,Микитюк,ovsiienkoprokhir@meta.ua,DxUfO8t1jE,+380 99 775-99-87,селище Токмак,Аналітик,Маркетинг,02.12.2019,16216
Віра,Чорновіл,abramenkovasylyna@mail.ua,0qUljUaXyn,+380 96 444-35-95,село Іллінці,Менеджер,IT,17.03.2024,44078
Марина,Батуринець,iashchukiosyp@mail.ua,gjx0Pu(m2B,+380 95 401-51-17,хутір Вуглегірськ,Тестувальник,Продажі,20.10.2021,43059
Гордій,Козаченко,zynoviihrechanyk@gmail.com,Bz1lgFVCqR,+380 93 572-38-09,місто Зоринськ,Дизайнер,IT,22.12.2020,41461
Венедикт,Верменич,inestaiko@outlook.com,B5cbgj4w3d,+380 66 938-67-38,хутір Одеса,Аналітик,Фінанси,07.06.2024,37917
Геннадій,Андріїшин,myronhaidamaka@meta.ua,igI8UkViF4,+380 96 396-95-94,село Золоте,Менеджер,Розробка,16.05.2022,21545
Орхип,Дейнеко,iustyna77@outlook.com,AV9saBWtVm,+380 50 167-08-01,місто Корюківка,Розробник,IT,27.09.2023,16366
Орина,Охримович,halynaparasiuk@ukr.net,UptVL2Oe6c,+380 73 991-97-72,місто Одеса,Менеджер,IT,31.01.2023,48849
Світлана,Демʼяненко,klyment57@ukr.net,9JFI77TaYG,+380 97 531-02-27,село Білопілля,Тестувальник,IT,07.08.2024,22706
Азар,Демʼяненко,avhustyn84@yahoo.com,u62FKC1eyx,+380 66 119-87-85,село Алупка,Менеджер,Маркетинг,01.12.2021,15939
Борис,Левченко,barabashhennadii@mail.ua,PqQZhdgnih,+380 99 227-57-84,хутір Заставна,Тестувальник,Фінанси,19.03.2022,44002
Тетяна,Рябець,xbatih@meta.ua,U3kziDZG5T,+380 66 688-52-96,місто Лозова,Розробник,Розробка,15.09.2022,49506
Амвросій,Бабак,ybevzenko@gmail.com,5eaZnrFl5J,+380 50 742-47-88,селище Олешки,Розробник,IT,08.09.2023,29907
Мирослав,Чорновіл,oksana79@yahoo.com,XLBB18iNFp,+380 97 589-18-55,місто Камінь-Каширський,Розробник,Фінанси,27.01.2023,34841
Семен,Давиденко,khudiakdemian@meta.ua,DF0rsn3j1G,+380 67 119-03-77,місто Вовчанськ,Менеджер,Маркетинг,28.09.2021,47230
Любов,Худяк,gverkhola@i.ua,8ELVRTIRoU,+380 98 160-85-79,хутір Ірпінь,HR,Продажі,18.05.2021,28865
Михайло,Юхименко,anastasiiaverkhola@mail.ua,&UfYM3qgGb,+380 67 587-17-59,хутір Кропивницький,Тестувальник,Фінанси,07.06.2021,47569
Веніямин,Вишняк,sviatoslavasyrotenko@meta.ua,I1XxTH9iE0,+380 98 320-94-28,село Нетішин,Розробник,Маркетинг,28.05.2021,27069
Ростислав,Давимука,xiashchuk@yahoo.com,$339UvtSCN,+380 67 364-33-94,місто Ніжин,Тестувальник,HR,07.02.2024,40109
Соломон,Мазепа,hlib43@gmail.com,pFS6m1WUqZ,+380 73 810-05-41,хутір Гірське,Тестувальник,Маркетинг,30.12.2020,25590
Богуслава,Батіг,solomiiahavryliv@ukr.net,LOOvGzQMgc,+380 98 315-80-36,хутір Селидове,HR,Розробка,20.07.2024,44725
Ілля,Іщак,galaganviacheslav@meta.ua,CIY289xv1Y,+380 67 158-92-55,село Авдіївка,Дизайнер,Фінанси,01.09.2023,32413
Орина,Гузенко,panas63@gmail.com,LM!CJMPqll,+380 96 363-29-91,місто Яготин,HR,Продажі,04.11.2021,42612
Ліза,Вертипорох,iustym77@i.ua,5MmAvtdJ0E,+380 95 962-34-93,селище Буринь,Аналітик,Розробка,30.04.2023,30524
Гліб,Верховинець,iakivvatamaniuk@ukr.net,6jwmJigGF7,+380 50 437-67-85,селище Глобине,HR,IT,09.02.2023,31737
Розалія,Кащенко,mariia31@meta.ua,GYVhViD5YG,+380 97 619-73-22,хутір Вознесенівка,HR,Фінанси,20.04.2020,39244
Богодар,Єсипенко,mishchenkomykhailo@gmail.com,OsR2fa*gt7,+380 99 166-85-47,село Покровськ,Менеджер,Маркетинг,03.12.2022,34902
Віталій,Петрик,hlibderhach@gmail.com,xao2qrnH7C,+380 93 770-47-59,хутір Берестечко,Менеджер,Продажі,06.06.2023,48486
Єфрем,Мірошниченко,mduplii@i.ua,AyLA2xn70y,+380 67 566-79-73,місто Петрово-Красносілля,Менеджер,HR,26.03.2024,30128
Ярослав,Матяш,feofan58@mail.ua,Q2XcWabgUW,+380 73 519-67-94,місто Гнівань,HR,IT,28.01.2022,20635
Лукʼян,Шамрай,sofiiaiarosh@i.ua,h67mdT8j5M,+380 95 950-10-19,хутір Вижниця,Дизайнер,Продажі,26.04.2024,21905
Пантелеймон,Швачка,tymofiimiroshnychenko@mail.ua,Rz775xaYox,+380 93 215-78-92,селище Яготин,HR,Розробка,27.07.2020,34643
Демид,Романчук,halynabandurka@outlook.com,zx2sSveMd$,+380 93 328-31-60,місто Долина,HR,Маркетинг,20.03.2022,27510
Віолетта,Ільєнко,danylobebeshko@ukr.net,dLV*hxCbDR,+380 73 175-90-41,хутір Монастириська,Дизайнер,Фінанси,30.08.2020,24155
Віолетта,Бандурка,fdatsiuk@i.ua,!Fiw0HJwgL,+380 98 136-45-01,хутір Світлодарськ,Менеджер,HR,01.04.2022,31478
Демид,Савенко,oles91@gmail.com,b9X3aN34Ia,+380 73 764-67-77,село Харків,Розробник,Продажі,24.04.2022,37713
Орхип,Даценко,leontiihabelko@ukr.net,qJ13PZLQqg,+380 93 408-59-37,місто Ладижин,HR,Розробка,30.04.2020,24437
Володимира,Петлюра,adamchukorysia@outlook.com,O*cYoLdtwV,+380 93 805-07-02,село Лозова,Менеджер,Розробка,19.07.2021,18134
Марія,Данильчук,ksmyk@ukr.net,ff5EEmADvR,+380 93 169-23-73,хутір Малин,Менеджер,Маркетинг,19.01.2022,32318
Амалія,Матяш,handriievych@mail.ua,ec2&0j5aCq,+380 67 265-32-50,село Джанкой,HR,HR,18.01.2020,42274
Соломон,Ванченко,erikashelest@i.ua,ycpnckBArV,+380 98 299-13-24,село Болград,Менеджер,HR,05.03.2022,26031
Валентин,Матяш,avhustyn06@ukr.net,BrvhQG8Axq,+380 50 608-17-23,селище Сторожинець,Тестувальник,Маркетинг,22.07.2024,31683
Зиновій,Гайдай,oleh05@i.ua,KxlyyKI9$c,+380 96 793-40-67,хутір Рені,Аналітик,IT,26.01.2021,32957
Аркадій,Нестайко,petrokabaliuk@yahoo.com,L0MUPKwy0e,+380 96 224-33-99,місто Золотоноша,Аналітик,Маркетинг,25.01.2024,35727
Давид,Бабій,oiefymenko@gmail.com,jlTzphga7Y,+380 93 182-43-50,село Нова Одеса,Тестувальник,Фінанси,02.06.2024,38620
Пріска,Верес,okhrimtovstolis@yahoo.com,DJUz3pXetF,+380 98 602-13-47,селище Ірміно,Аналітик,HR,09.11.2022,16681
Климент,Мамчур,ielyseiaverchenko@yahoo.com,3tfnfNYz1F,+380 96 493-75-58,місто Знам'янка,Тестувальник,Маркетинг,20.04.2024,15856
Демид,Радченко,bohdannashchyrytsia@ukr.net,K01GR5Vb8m,+380 99 401-58-43,хутір Рожище,Тестувальник,Маркетинг,31.07.2022,24028
Василь,Баштан,dan45@i.ua,Az6sxV8PzB,+380 95 140-12-31,село Кам'янське,Тестувальник,IT,31.03.2024,39380
Омелян,Ватаманюк,davydtsybulenko@i.ua,RCr2XaocMT,+380 73 185-56-70,хутір Новоселиця,Дизайнер,Продажі,11.11.2023,19680
Гліб,Шухевич,asaularoksolana@i.ua,0Bo3aGX3CN,+380 99 426-49-38,місто Почаїв,Аналітик,Продажі,10.03.2024,41340
Опанас,Василенко,azhazharostyslav@outlook.com,hbLCAP972u,+380 95 209-15-55,хутір Бучач,Дизайнер,IT,24.07.2021,16683
Аркадій,Ватаманюк,drozdenkovadym@outlook.com,LildkdJ9Sw,+380 97 737-23-22,хутір Бердичів,Дизайнер,IT,22.12.2019,27373
Демʼян,Бабенко,evernydub@yahoo.com,UweKCCK7LY,+380 95 631-25-59,селище Шахтарське,Дизайнер,Продажі,11.11.2022,23463
Надія,Сацюк,abramchukdemyd@mail.ua,sferMO7HrB,+380 67 886-44-61,село Жидачів,HR,HR,21.08.2020,25444
Анастасія,Даньків,aartymyshyna@meta.ua,aXPdDj35Nb,+380 66 791-29-61,хутір Новий Розділ,Дизайнер,Розробка,05.10.2024,32270
Олег,Царенко,xkozak@mail.ua,KXtftxM3rN,+380 73 257-12-46,село Бердянськ,Дизайнер,Фінанси,03.01.2021,34536
Адам,Устенко,riabchenkofrants@mail.ua,cFmuB44huE,+380 50 288-53-41,місто Перемишляни,HR,Маркетинг,28.09.2021,43577
Арсен,Закусило,klavdiia77@meta.ua,6EZRaAt4g*,+380 96 704-95-25,селище Мала Виска,Аналітик,Продажі,01.03.2022,35902
Стефан,Туркало,ieva51@yahoo.com,4cwoAQxmKG,+380 73 188-64-33,хутір Яворів,Тестувальник,Продажі,12.11.2023,47249
Богдан,Прокопович,dzhuntaras@yahoo.com,6FYpdfbdJQ,+380 93 157-65-48,село Пологи,Розробник,Розробка,16.04.2024,36747
Амвросій,Вакуленко,uzasiadko@outlook.com,eYqmQHqEGU,+380 99 722-79-61,місто Решетилівка,Розробник,Розробка,06.08.2021,36282
Єлисавета,Іващенко,prytulavarfolomii@i.ua,A7iZ1iq5wn,+380 97 136-47-17,хутір Кагарлик,Розробник,Фінанси,07.11.2021,24381
Роман,Ісаєнко,ievazubko@mail.ua,w0vTZFODDj,+380 66 729-40-48,хутір Горлівка,Аналітик,IT,04.06.2020,45867
Любов,Копитко,makar35@outlook.com,3wHLohsiry,+380 96 585-63-89,селище Соснівка,Дизайнер,Фінанси,23.05.2024,42370
Єлисей,Піддубна,tzabara@yahoo.com,BmgrvKQjrC,+380 66 586-40-78,хутір Гнівань,Розробник,HR,07.03.2020,49786
Лукʼян,Дробаха,anton96@gmail.com,vAZqf5keMo,+380 96 596-27-03,селище Верхівцеве,Тестувальник,HR,23.10.2022,29867
Златослава,Слюсар,ddashenko@i.ua,UXnpZTGNKJ,+380 98 650-10-18,селище Городище,Менеджер,IT,20.06.2020,20990
Руслан,Гузій,azar22@gmail.com,9ZlKO0PjV%,+380 95 676-23-14,хутір Ясинувата,Аналітик,Маркетинг,08.04.2021,29622
Устим,Шиян,dan16@outlook.com,dkj22HZWza,+380 98 943-45-85,хутір Броди,Тестувальник,Розробка,28.05.2021,47760
Оксана,Килимник,arsenychdemyd@ukr.net,rsrrkl#amy,+380 98 385-36-09,селище Тисмениця,Тестувальник,Фінанси,20.03.2022,24489
Юстим,Петлюра,vashchukvitalii@i.ua,ppL9ECjxyt,+380 67 769-56-92,місто Дрогобич,Менеджер,Маркетинг,08.11.2023,19553
Одарка,Голик,stefanavramchuk@gmail.com,YyDT16SGDV,+380 95 926-33-19,село Кременчук,Тестувальник,Маркетинг,19.04.2023,49438
Демид,Дрозд,ielysei37@i.ua,SoqNEQIHOP,+380 66 445-06-31,селище Селидове,HR,HR,21.01.2020,27543
Олександр,Базилевська,davydkadeniuk@outlook.com,fvFAb2gl82,+380 96 237-02-99,село Глиняни,Аналітик,IT,05.09.2022,43803
Єлисей,Атрощенко,khrytsenko@outlook.com,Az7eVAHS7m,+380 99 473-52-04,селище Новоселиця,Тестувальник,IT,30.08.2021,29825
Ліза,Бакуменко,slytvynenko@ukr.net,UMxbkMDXBT,+380 95 115-49-51,селище Зимогір'я,Аналітик,IT,09.07.2024,37212
Демид,Коваленко,larysa88@yahoo.com,GtCqMSGzH8,+380 67 226-64-73,хутір Білопілля,Менеджер,Маркетинг,20.08.2024,35334
Тереза,Кибкало,parmenprokopovych@gmail.com,FTVQ15Oib4,+380 98 961-85-40,місто Узин,Дизайнер,IT,22.06.2022,30857
Тарас,Дзиндра,bazylevskyiarkadii@gmail.com,1k79bDcODV,+380 67 820-29-73,хутір Сімферополь,Розробник,Розробка,26.09.2021,48993
Борислав,Сіробаба,iakiv36@outlook.com,01aKe1wEuZ,+380 50 192-87-27,місто Южноукраїнськ,Аналітик,IT,09.11.2022,15874
Лесь,Пелех,thodunok@gmail.com,KbgvELIK(u,+380 93 849-43-18,селище Костопіль,Менеджер,Продажі,19.07.2024,28408
Симон,Шухевич,andrii73@mail.ua,nXTPa1AXou,+380 98 403-18-60,селище Кальміуське,Розробник,Продажі,17.11.2024,17074
Світлана,Базилевич,pylyp68@mail.ua,91V41tLX9U,+380 97 599-16-91,хутір Борщів,Тестувальник,Розробка,12.08.2022,27574
Анжела,Лупій,lizanesterenko@i.ua,OMcnQOUUdh,+380 50 777-46-58,хутір Козятин,Розробник,IT,31.08.2024,24915
Веніямин,Дашкевич,volodymyraishchak@meta.ua,KKDHGXror7,+380 67 515-96-95,хутір Луганськ,Менеджер,Розробка,04.12.2020,49556
Ліза,Гриценко,alevtynmatviienko@yahoo.com,BLY8DUeM7c,+380 95 699-80-52,селище Косів,Менеджер,Розробка,14.11.2021,24341
Богуслава,Заруба,zhaidabura@ukr.net,2ezIlAyRSt,+380 96 837-50-66,хутір Волочиськ,Аналітик,Розробка,15.01.2023,28633
Софія,Дрозденко,lshvachka@gmail.com,0vFHbt9CSz,+380 99 641-28-22,місто Лозова,HR,Маркетинг,16.07.2022,44674
Роксолана,Вергун,dkhudobiak@i.ua,lODEQpGRC9,+380 96 783-35-33,хутір Корсунь-Шевченківський,Менеджер,Маркетинг,28.11.2020,22243
Єлисей,Ємець,havrylyshynoleksa@meta.ua,28aL9sfXQT,+380 96 163-99-04,селище Нове Давидково,Тестувальник,Розробка,05.02.2020,15122
Аарон,Іщак,matamanchuk@gmail.com,HH3ww5*Kid,+380 99 354-94-67,місто Хорол,Тестувальник,IT,22.02.2024,46719
Святослав,Цимбалюк,markomoskal@outlook.com,z52R5SIVBL,+380 95 972-91-43,хутір Вишгород,Менеджер,IT,12.06.2022,27619
Мілена,Романенко,myroslavhodunok@ukr.net,U8K2mK25dx,+380 66 216-89-02,місто Болехів,HR,HR,25.03.2024,23144
Ігнат,Ткаченко,alladeriazhna@mail.ua,PRNq1F4pIL,+380 95 104-00-05,селище Подільськ,Дизайнер,Фінанси,13.02.2022,18422
Мирон,Чередник,hutsuliakihnat@meta.ua,hB4BwVEAYR,+380 93 560-21-39,хутір Білозерське,Менеджер,Маркетинг,05.02.2022,30219
Степан,Хмара,huzstanislav@yahoo.com,PExBJYIRAG,+380 99 752-14-77,хутір Родинське,Аналітик,Маркетинг,22.01.2022,18576
Олекса,Шаповал,voblyiostap@outlook.com,CpggqmMxDK,+380 50 345-34-76,хутір Любомль,Тестувальник,HR,08.09.2023,35011
Павло,Уманець,iarynarebryk@mail.ua,2oGBdgEtsC,+380 93 748-07-34,місто Острог,Тестувальник,Продажі,22.01.2023,31345
Анастасія,Лисенко,myroslavtiahnybok@yahoo.com,3bHh4UuHSv,+380 66 220-19-91,хутір Олевськ,Менеджер,IT,15.08.2024,32212
Трохим,Примаченко,karasroksolana@mail.ua,CWG3aXgNd1,+380 99 663-32-29,село Хутір-Михайлівський,HR,Продажі,15.05.2024,18840
Наталія,Саєнко,nataliiatalan@meta.ua,CgaSP5no0r,+380 96 927-64-81,село Калинівка,Тестувальник,Розробка,14.11.2023,39869
Леон,Дзюба,zlatoslava24@gmail.com,6dusQnzZMq,+380 96 878-30-85,хутір Бориспіль,Тестувальник,IT,18.08.2021,21409
Едита,Дубина,ielysavetalahoda@yahoo.com,5pM04mruNn,+380 96 851-88-80,місто Пустомити,Розробник,IT,18.01.2022,44915
Назар,Ващук,iustynasomko@meta.ua,PBAGsOt8vq,+380 73 241-19-07,селище Новогродівка,Розробник,IT,10.02.2020,31391
Арсен,Коваленко,cdemydenko@meta.ua,57sp7NS4W8,+380 97 533-39-33,хутір Курахове,Аналітик,Продажі,18.08.2022,37253
Пріска,Безбородько,priskasyrotenko@outlook.com,5cjcJFlTnb,+380 93 361-44-62,село Умань,Дизайнер,HR,26.11.2019,25752
Пилип,Затула,snizhana70@ukr.net,YFjp810fOp,+380 95 265-87-88,село Коростишів,HR,Розробка,16.06.2021,31416
Оксенія,Верховинець,mykytachaban@meta.ua,Zapzltqbq7,+380 67 201-58-91,місто Радивилів,Менеджер,Продажі,31.05.2020,47291
Семен,Удовенко,iakymchukrostyslav@gmail.com,MUAhTOf0Fs,+380 67 492-01-74,місто Алупка,Тестувальник,Маркетинг,24.12.2019,40047
Нестор,Зінченко,baturynetsmariana@ukr.net,eWg0rE4kSa,+380 50 670-03-57,село Скадовськ,Розробник,Маркетинг,19.06.2022,29556
Ярема,Дубина,tarashohol-ianovska@i.ua,3T0rp2X45E,+380 98 301-64-30,селище Боярка,HR,Маркетинг,23.11.2022,25233
Вʼячеслав,Масоха,jiakymchuk@ukr.net,RJqasGa6Fs,+380 98 167-94-68,хутір Трускавець,Тестувальник,Маркетинг,26.01.2020,33941
Леонід,Мазепа,maryna29@gmail.com,cmYuZlakyD,+380 73 656-50-69,хутір Донецьк,Аналітик,Розробка,20.03.2024,46909
Спас,Панчук,jsyrotenko@i.ua,hm6eiaRSXM,+380 67 101-69-68,селище Гребінка,HR,Продажі,31.03.2021,47839
Олена,Усик,ielysavetababiuk@ukr.net,ihPQ5WF2i8,+380 96 941-94-06,місто Сіверськодонецьк,Менеджер,Розробка,04.10.2022,32356
Амалія,Цюцюра,ptiahnybok@mail.ua,CcmVOAlJfZ,+380 97 676-33-82,селище Сколе,Менеджер,Продажі,16.03.2020,38691
Аніта,Ємельяненко,dmytroavramchuk@meta.ua,OGs3O7UIts,+380 50 991-27-83,хутір Нововолинськ,Аналітик,Маркетинг,23.03.2020,46721
Олена,Павличенко,iefremzabarna@mail.ua,ERXv2rPWUl,+380 50 159-84-20,хутір Миколаїв,Тестувальник,Продажі,22.12.2021,28920
Герман,Шамрай,vasylevychdan@i.ua,fUkzHOR2s3,+380 73 986-89-58,хутір Вільнянськ,Аналітик,Продажі,19.03.2022,33552
Валентин,Запорожець,petrenkoiaryna@outlook.com,V4LG72Wvwc,+380 66 826-26-81,хутір Золотоноша,HR,HR,29.05.2021,48150
Єлисей,Барабаш,myron57@i.ua,ZtbFey39C2,+380 95 906-81-41,місто Шепетівка,Тестувальник,HR,16.02.2020,15678
Златослава,Литвиненко,karpadan@gmail.com,DOBEHTYF2y,+380 66 809-60-77,хутір Білицьке,Тестувальник,Фінанси,27.11.2021,48697
Яків,Ісаєвич,jmamchur@gmail.com,J5z1Goq9Z(,+380 67 446-51-84,хутір Південне,Тестувальник,Продажі,30.01.2022,47675
Валентина,Ажажа,leopoldfilipenko@gmail.com,qwwxyPXUOS,+380 73 453-77-41,хутір Токмак,Тестувальник,Маркетинг,06.06.2021,17432
Марія,Оробець,semen70@yahoo.com,hF8Ns0XHtc,+380 66 819-43-54,місто Херсон,Тестувальник,Фінанси,12.06.2022,20476
Олекса,Журба,azardeisun@mail.ua,wdrhBBHEGt,+380 93 366-09-61,селище Городня,Дизайнер,HR,19.02.2020,27010
Омелян,Копитко,valentynabatih@yahoo.com,WmXXDzeRrT,+380 99 202-27-40,місто Охтирка,Тестувальник,IT,17.10.2024,26822
Аркадій,Приходько,ievhenriabchenko@i.ua,hftwLLzIoK,+380 50 161-19-18,хутір Перечин,Менеджер,IT,23.03.2023,30080
Руслан,Затовканюк,hoholfrants@gmail.com,tEKORBq47w,+380 73 757-01-90,хутір Сіверськ,HR,Розробка,18.11.2022,28818
Михайлина,Рубан,leonid96@outlook.com,SyoEemnmBG,+380 95 119-35-97,селище Сарни,Менеджер,Розробка,23.01.2022,30888
Лукʼян,Артимишина,vladyslavskyrda@yahoo.com,pAyBoXbMGb,+380 99 671-65-88,місто Василівка,Дизайнер,Фінанси,22.01.2020,16946
Веніямин,Тригуб,xfastenko@ukr.net,ZgQnVxS16V,+380 99 366-83-65,місто Ясинувата,Аналітик,Маркетинг,06.07.2024,17590
Франц,Наливайко,schumak@gmail.com,&3vaILBxWX,+380 96 327-88-08,місто Українка,Дизайнер,Продажі,14.06.2022,27649
Ігор,Скоробогатько,tereshchenkoiryna@yahoo.com,sM2g79vgR6,+380 97 701-37-70,селище Володимир-Волинський,Тестувальник,HR,24.03.2020,39872
Оксенія,Фоменко,mariana83@mail.ua,eqSRHPfuhI,+380 67 604-46-31,село Перечин,Аналітик,Продажі,31.08.2021,28428
Марʼяна,Рубець,iefremneporozhnii@mail.ua,nrJWi5th0N,+380 50 897-75-46,село Костянтинівка,HR,HR,22.06.2021,31815
Ірена,Ткач,rtsiupa@ukr.net,P22CUISRJI,+380 98 586-24-88,хутір Шостка,Дизайнер,Розробка,28.07.2023,48910
Аркадій,Гаврилишин,opanas48@outlook.com,hLjhmJI4qY,+380 96 163-24-28,місто Харків,Розробник,Маркетинг,26.10.2022,47853
Володимира,Шиян,tymofii48@gmail.com,7XEnx$5pER,+380 93 871-97-27,селище Новгород-Сіверський,Дизайнер,Маркетинг,23.01.2021,24864
Михайло,Акименко,bazylevskaostap@gmail.com,1vwNamZnu8,+380 96 522-50-53,хутір Надвірна,Менеджер,HR,16.07.2020,27630
Устим,Ткач,fnestaiko@i.ua,4A1YJPMjyj,+380 97 789-28-86,місто Костопіль,Тестувальник,HR,29.05.2020,41580
Віра,Деркач,tkachenkoavrelii@mail.ua,B4f2VOcCeo,+380 98 565-74-21,село Іллінці,HR,Продажі,17.03.2024,46388
Маруся,Гаврилець,hzinchenko@mail.ua,3McoCzUodT,+380 99 447-81-07,місто Радомишль,Аналітик,IT,05.10.2022,31520
Мартин,Кабаненко,iiurchenko@meta.ua,8TcmYGAQj3,+380 99 310-36-02,село Нове Давидково,HR,IT,04.09.2021,34379
Олекса,Вітер,kyrylo10@i.ua,Gr8ww7xZln,+380 98 278-95-81,хутір Нова Одеса,Дизайнер,IT,21.02.2024,22325
Венедикт,Макогон,ytverdokhlib@mail.ua,KeIKAvsreg,+380 93 390-44-19,селище Підгайці,Дизайнер,IT,09.02.2024,15333
Руслан,Вівчаренко,tsuprunenko@yahoo.com,8ppiakwKRM,+380 93 292-55-33,село Новоукраїнка,Дизайнер,Розробка,29.01.2021,48619
Алла,Гузій,zharkoonysym@outlook.com,xzyL6K^WJP,+380 96 263-51-79,село Сватове,HR,IT,05.11.2024,33113
Ірена,Барабаш,xstets@yahoo.com,BRzN1QFu2r,+380 95 886-09-43,хутір Ромни,Тестувальник,Розробка,11.03.2022,26956
Богданна,Даценко,artem37@yahoo.com,zZ2OhljRtr,+380 95 318-65-53,хутір Берегове,Тестувальник,Маркетинг,05.04.2021,26528
Мирон,Якимчук,aieremenko@mail.ua,BUBV@cc8X0,+380 50 264-65-10,село Бориспіль,Менеджер,Фінанси,09.03.2022,29890
Аркадій,Гоголь,antonarsenych@gmail.com,iYVcH!XI!y,+380 93 496-41-66,місто Харків,Дизайнер,Маркетинг,27.04.2024,35900
Давид,Перебийніс,teodor89@i.ua,431VJL20lc,+380 93 167-56-51,хутір Надвірна,Менеджер,Продажі,25.04.2024,37377
Віра,Ляшко,bohdannakorzh@meta.ua,nuUKo6Ndbu,+380 98 627-99-84,селище Новоград-Волинський,Аналітик,Розробка,02.03.2020,49285
Ярема,Шовкопляс,uartym@ukr.net,ZujJl3v9Ww,+380 50 946-21-24,селище Полтава,Розробник,Маркетинг,26.07.2022,36480
Хома,Гоголь,romanverkhola@ukr.net,rJZww^K9Oq,+380 66 845-18-50,селище Самбір,HR,Розробка,23.09.2022,47582
Демид,Козаченко,babiidan@meta.ua,sB5MK8b81U,+380 73 738-50-72,селище Копичинці,Тестувальник,Маркетинг,20.11.2024,44806
Віра,Чайка,larysa85@outlook.com,wX1NJxEIab,+380 66 409-35-36,селище Буринь,Тестувальник,Розробка,14.11.2021,18468
Павло,Шинкаренко,velychkoorysia@meta.ua,rCUHNpJbD8,+380 99 507-96-40,селище Рені,Аналітик,IT,23.03.2023,31003
Пантелеймон,Полтавець,nadiia59@yahoo.com,rmPYwpMnZH,+380 50 205-05-61,село Дніпро,Менеджер,HR,09.05.2023,31199
Наталія,Джус,veniiamynzaruba@mail.ua,rBtabKkpTm,+380 93 172-77-71,село Шпола,Дизайнер,IT,21.12.2023,24188
Мартин,Оніщук,priskabarannyk@yahoo.com,EMYko4R0ZI,+380 93 680-52-80,село Буринь,Розробник,HR,09.02.2020,30766
Ганна,Фесенко,panchukievhen@i.ua,h5coWGaIZo,+380 93 594-98-45,селище Білгород-Дністровський,Аналітик,IT,26.02.2021,47662
Назар,Якимчук,boleslav99@yahoo.com,oz%3E%KyBb,+380 97 789-38-18,село Камінь-Каширський,Менеджер,Маркетинг,21.10.2023,39695
